DATABASE SCHEMA SUMMARY,,,
household_type_rural,8,hh_others_pct,double
household_type_rural,9,estimated_households,double
household_type_rural,10,sample_households,double
literacy,1,state,text
literacy,2,year,bigint(20)
literacy,3,additional_info,text
literacy,4,total_literacy_rate_pct,double
literacy,5,st_literacy_rate_pct,double
literacy,6,literacy_gap_pct,double
low_literacy_districts,1,state,text
low_literacy_districts,2,year,bigint(20)
low_literacy_districts,3,district,text
low_literacy_districts,4,literacy_total_pct,double
low_literacy_districts,5,literacy_male_pct,double
low_literacy_districts,6,literacy_female_pct,double
mgnreg_st,1,state,text
mgnreg_st,2,year,bigint(20)
mgnreg_st,3,social_group,text
mgnreg_st,4,residence_type,text
mgnreg_st,5,mgnreg_job_card_households_per_1000,bigint(20)
mgnreg_st,6,mgnreg_work_less_20_days_per_1000,bigint(20)
mgnreg_st,7,mgnreg_work_20_50_days_per_1000,bigint(20)
mgnreg_st,8,mgnreg_work_50_100_days_per_1000,bigint(20)
mgnreg_st,9,mgnreg_work_100_plus_days_per_1000,bigint(20)
mgnreg_st,10,mgnreg_sought_not_received_per_1000,bigint(20)
mgnreg_st,11,mgnreg_not_seeking_work_per_1000,bigint(20)
mgnreg_st,12,mgnreg_all_status_per_1000,bigint(20)
mgnreg_st,13,mgnreg_average_days_worked,bigint(20)
mgnreg_st_dependency,1,state,text
mgnreg_st_dependency,2,mgnreg_year,bigint(20)
mgnreg_st_dependency,3,mgnreg_job_card_households_per_1000,bigint(20)
mgnreg_st_dependency,4,mgnreg_work_less_20_days_per_1000,bigint(20)
mgnreg_st_dependency,5,mgnreg_work_20_50_days_per_1000,bigint(20)
mgnreg_st_dependency,6,mgnreg_work_50_100_days_per_1000,bigint(20)
mgnreg_st_dependency,7,mgnreg_work_100_plus_days_per_1000,bigint(20)
mgnreg_st_dependency,8,mgnreg_sought_not_received_per_1000,bigint(20)
mgnreg_st_dependency,9,mgnreg_not_seeking_work_per_1000,bigint(20)
mgnreg_st_dependency,10,mgnreg_average_days_worked,bigint(20)
mgnreg_st_dependency,11,mgnreg_work_received_any_days_per_1000,bigint(20)
mgnreg_st_dependency,12,mgnreg_100_plus_share_of_work_received_pct,double
poverty_st,1,state,text
poverty_st,2,year,bigint(20)
poverty_st,3,residence_type,text
poverty_st,4,st_bpl_pct,double
scholarships_st,1,state,text
scholarships_st,2,scholarship_post_matric_2019_20_release_lakh,double
scholarships_st,3,scholarship_post_matric_2019_20_utilized_lakh,double
